"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"junho 2012";"7201063.Jogos de azar";"0,00";"0,4056"
"junho 2012";"7201068.Motel";"3,37";"0,0038"
"junho 2012";"7201090.Hotel";"0,42";"0,3996"
"junho 2012";"7201095.Excursão";"4,74";"0,3465"
"junho 2012";"7202.Fumo";"-0,40";"0,9195"
"junho 2012";"7203.Fotografia e filmagem";"-0,16";"0,0820"
"junho 2012";"8101.Cursos regulares";"0,00";"2,9088"
"junho 2012";"8102.Leitura";"0,16";"0,5534"
"junho 2012";"8103.Papelaria";"0,54";"0,3279"
"junho 2012";"8104.Cursos diversos";"0,00";"0,7714"
"junho 2012";"9.Comunicação";"-0,01";"4,8517"
"julho 2012";"Índice geral";"0,43";"100,0000"
"julho 2012";"1.Alimentação e bebidas";"0,91";"23,3330"
"julho 2012";"2101.Aluguel e taxas";"0,92";"6,9440"
"julho 2012";"2103.Reparos";"0,37";"2,4508"
"julho 2012";"2104.Artigos de limpeza";"0,50";"0,8330"
"julho 2012";"22.Combustíveis e energia";"0,07";"4,5612"
"julho 2012";"3.Artigos de residência";"-0,01";"4,5304"
"julho 2012";"4.Vestuário";"0,04";"6,6138"
"julho 2012";"5101.Transporte público";"0,57";"4,9093"
"julho 2012";"5102.Veículo próprio";"0,00";"9,8202"
"julho 2012";"5104.Combustíveis (veículos)";"-0,65";"5,1272"
"julho 2012";"61.Produtos farmacêuticos e óticos";"0,23";"3,8008"
"julho 2012";"62.Serviços de saúde";"0,57";"4,7501"
"julho 2012";"63.Cuidados pessoais";"0,17";"2,6626"
"julho 2012";"71.Serviços pessoais";"1,01";"6,2018"
"julho 2012";"7201001.Cinema";"1,88";"0,1849"
"julho 2012";"7201002.CD e DVD";"1,12";"0,0639"
"julho 2012";"7201003.Ingresso para jogo";"1,53";"0,0151"
"julho 2012";"7201006.Clube";"0,42";"0,1583"
"julho 2012";"7201010.Instrumento musical";"0,22";"0,0414"
"julho 2012";"7201018.Tratamento de animais";"0,98";"0,1970"
"julho 2012";"7201019.Bicicleta";"0,76";"0,0954"
"julho 2012";"7201020.Alimento para animais";"0,64";"0,2475"
"julho 2012";"7201023.Brinquedo";"0,67";"0,4523"
"julho 2012";"7201052.Locação de DVD";"-0,06";"0,1407"
"julho 2012";"7201054.Boate e danceteria";"-0,18";"0,2875"
"julho 2012";"7201063.Jogos de azar";"0,00";"0,4053"
"julho 2012";"7201068.Motel";"3,03";"0,0039"
"julho 2012";"7201090.Hotel";"1,28";"0,4010"
"julho 2012";"7201095.Excursão";"3,46";"0,3625"
"julho 2012";"7202.Fumo";"0,09";"0,9152"
"julho 2012";"7203.Fotografia e filmagem";"0,40";"0,0818"
"julho 2012";"8101.Cursos regulares";"0,00";"2,9066"
"julho 2012";"8102.Leitura";"0,57";"0,5538"
"julho 2012";"8103.Papelaria";"0,64";"0,3293"
"julho 2012";"8104.Cursos diversos";"0,00";"0,7707"
"julho 2012";"9.Comunicação";"0,15";"4,8474"
"agosto 2012";"Índice geral";"0,41";"100,0000"
"agosto 2012";"1.Alimentação e bebidas";"0,88";"23,4426"
"agosto 2012";"2101.Aluguel e taxas";"0,71";"6,9776"
"agosto 2012";"2103.Reparos";"0,45";"2,4490"
"agosto 2012";"2104.Artigos de limpeza";"0,63";"0,8336"
"agosto 2012";"22.Combustíveis e energia";"-0,73";"4,5444"
"agosto 2012";"3.Artigos de residência";"0,40";"4,5103"
"agosto 2012";"4.Vestuário";"0,19";"6,5880"
"agosto 2012";"5101.Transporte público";"-0,26";"4,9154"
"agosto 2012";"5102.Veículo próprio";"0,34";"9,7776"
"agosto 2012";"5104.Combustíveis (veículos)";"-0,17";"5,0719"
"agosto 2012";"61.Produtos farmacêuticos e óticos";"0,44";"3,7929"
"agosto 2012";"62.Serviços de saúde";"0,61";"4,7567"
"agosto 2012";"63.Cuidados pessoais";"0,52";"2,6556"
"agosto 2012";"71.Serviços pessoais";"0,96";"6,2375"
"agosto 2012";"7201001.Cinema";"1,41";"0,1876"
"agosto 2012";"7201002.CD e DVD";"-0,12";"0,0644"
"agosto 2012";"7201003.Ingresso para jogo";"-1,46";"0,0153"
"agosto 2012";"7201006.Clube";"-0,52";"0,1583"
"agosto 2012";"7201010.Instrumento musical";"-0,45";"0,0413"
"agosto 2012";"7201018.Tratamento de animais";"0,54";"0,1981"
"agosto 2012";"7201019.Bicicleta";"0,22";"0,0957"
"agosto 2012";"7201020.Alimento para animais";"0,41";"0,2480"
"agosto 2012";"7201023.Brinquedo";"1,68";"0,4535"
"agosto 2012";"7201052.Locação de DVD";"-0,30";"0,1400"
"agosto 2012";"7201054.Boate e danceteria";"-0,77";"0,2858"
"agosto 2012";"7201063.Jogos de azar";"0,00";"0,4036"
"agosto 2012";"7201068.Motel";"-0,02";"0,0040"
"agosto 2012";"7201090.Hotel";"0,33";"0,4044"
"agosto 2012";"7201095.Excursão";"-7,09";"0,3734"
"agosto 2012";"7202.Fumo";"0,00";"0,9121"
"agosto 2012";"7203.Fotografia e filmagem";"0,25";"0,0817"
"agosto 2012";"8101.Cursos regulares";"0,32";"2,8942"
"agosto 2012";"8102.Leitura";"0,24";"0,5545"
"agosto 2012";"8103.Papelaria";"0,64";"0,3300"
"agosto 2012";"8104.Cursos diversos";"1,39";"0,7675"
"agosto 2012";"9.Comunicação";"-0,01";"4,8336"
"setembro 2012";"Índice geral";"0,57";"100,0000"
"setembro 2012";"1.Alimentação e bebidas";"1,26";"23,5504"
"setembro 2012";"2101.Aluguel e taxas";"0,81";"6,9991"
"setembro 2012";"2103.Reparos";"0,22";"2,4499"
"setembro 2012";"2104.Artigos de limpeza";"0,12";"0,8355"
"setembro 2012";"22.Combustíveis e energia";"0,92";"4,4925"
"setembro 2012";"3.Artigos de residência";"0,18";"4,5097"
"setembro 2012";"4.Vestuário";"0,89";"6,5729"
"setembro 2012";"5101.Transporte público";"0,49";"4,8828"
"setembro 2012";"5102.Veículo próprio";"-0,39";"9,7722"
"setembro 2012";"5104.Combustíveis (veículos)";"-0,03";"5,0435"
"setembro 2012";"61.Produtos farmacêuticos e óticos";"0,06";"3,7939"
"setembro 2012";"62.Serviços de saúde";"0,56";"4,7670"
"setembro 2012";"63.Cuidados pessoais";"0,27";"2,6582"
"setembro 2012";"71.Serviços pessoais";"0,84";"6,2726"
"setembro 2012";"7201001.Cinema";"0,24";"0,1895"
"setembro 2012";"7201002.CD e DVD";"0,42";"0,0640"
"setembro 2012";"7201003.Ingresso para jogo";"0,11";"0,0150"
"setembro 2012";"7201006.Clube";"0,43";"0,1569"
"setembro 2012";"7201010.Instrumento musical";"0,29";"0,0410"
"setembro 2012";"7201018.Tratamento de animais";"0,47";"0,1983"
"setembro 2012";"7201019.Bicicleta";"1,08";"0,0955"
"setembro 2012";"7201020.Alimento para animais";"1,59";"0,2479"
"setembro 2012";"7201023.Brinquedo";"0,82";"0,4592"
"setembro 2012";"7201052.Locação de DVD";"1,25";"0,1390"
"setembro 2012";"7201054.Boate e danceteria";"0,76";"0,2824"
"setembro 2012";"7201063.Jogos de azar";"0,00";"0,4019"
"setembro 2012";"7201068.Motel";"-2,39";"0,0040"
"setembro 2012";"7201090.Hotel";"0,50";"0,4042"
"setembro 2012";"7201095.Excursão";"2,04";"0,3454"
"setembro 2012";"7202.Fumo";"0,00";"0,9085"
"setembro 2012";"7203.Fotografia e filmagem";"-1,06";"0,0816"
"setembro 2012";"8101.Cursos regulares";"0,00";"2,8920"
"setembro 2012";"8102.Leitura";"0,00";"0,5535"
"setembro 2012";"8103.Papelaria";"0,58";"0,3307"
"setembro 2012";"8104.Cursos diversos";"0,35";"0,7750"
"setembro 2012";"9.Comunicação";"0,03";"4,8140"
"outubro 2012";"Índice geral";"0,59";"100,0000"
"outubro 2012";"1.Alimentação e bebidas";"1,36";"23,7111"
"outubro 2012";"2101.Aluguel e taxas";"0,49";"7,0158"
"outubro 2012";"2103.Reparos";"0,88";"2,4416"
"outubro 2012";"2104.Artigos de limpeza";"0,29";"0,8318"
"outubro 2012";"22.Combustíveis e energia";"-0,06";"4,5077"
"outubro 2012";"3.Artigos de residência";"0,37";"4,4921"
"outubro 2012";"4.Vestuário";"1,09";"6,5937"
"outubro 2012";"5101.Transporte público";"0,17";"4,8781"
"outubro 2012";"5102.Veículo próprio";"0,09";"9,6812"
"outubro 2012";"5104.Combustíveis (veículos)";"0,61";"5,0140"
"outubro 2012";"61.Produtos farmacêuticos e óticos";"0,07";"3,7745"
"outubro 2012";"62.Serviços de saúde";"0,69";"4,7666"
"outubro 2012";"63.Cuidados pessoais";"0,67";"2,6501"
"outubro 2012";"71.Serviços pessoais";"0,02";"6,2891"
"outubro 2012";"7201001.Cinema";"0,59";"0,1889"
"outubro 2012";"7201002.CD e DVD";"-0,21";"0,0639"
"outubro 2012";"7201003.Ingresso para jogo";"-1,83";"0,0149"
"outubro 2012";"7201006.Clube";"0,49";"0,1567"
"outubro 2012";"7201010.Instrumento musical";"0,43";"0,0409"
"outubro 2012";"7201018.Tratamento de animais";"0,46";"0,1982"
"outubro 2012";"7201019.Bicicleta";"2,24";"0,0960"
"outubro 2012";"7201020.Alimento para animais";"0,10";"0,2505"
"outubro 2012";"7201023.Brinquedo";"0,20";"0,4604"
"outubro 2012";"7201052.Locação de DVD";"2,07";"0,1399"
"outubro 2012";"7201054.Boate e danceteria";"-1,64";"0,2830"
"outubro 2012";"7201063.Jogos de azar";"0,00";"0,3996"
"outubro 2012";"7201068.Motel";"7,60";"0,0039"
"outubro 2012";"7201090.Hotel";"0,22";"0,4040"
"outubro 2012";"7201095.Excursão";"0,98";"0,3503"
"outubro 2012";"7202.Fumo";"0,00";"0,9034"
"outubro 2012";"7203.Fotografia e filmagem";"0,68";"0,0803"
"outubro 2012";"8101.Cursos regulares";"0,00";"2,8756"
"outubro 2012";"8102.Leitura";"-0,02";"0,5503"
"outubro 2012";"8103.Papelaria";"0,67";"0,3307"
"outubro 2012";"8104.Cursos diversos";"0,00";"0,7732"
"outubro 2012";"9.Comunicação";"0,31";"4,7882"
"novembro 2012";"Índice geral";"0,60";"100,0000"
"novembro 2012";"1.Alimentação e bebidas";"0,79";"23,8879"
"novembro 2012";"2101.Aluguel e taxas";"0,26";"7,0092"
"novembro 2012";"2103.Reparos";"0,80";"2,4489"
"novembro 2012";"2104.Artigos de limpeza";"-0,09";"0,8292"
"novembro 2012";"22.Combustíveis e energia";"1,26";"4,4783"
"novembro 2012";"3.Artigos de residência";"0,47";"4,4815"
"novembro 2012";"4.Vestuário";"0,86";"6,6254"
"novembro 2012";"5101.Transporte público";"1,27";"4,8574"
"novembro 2012";"5102.Veículo próprio";"0,20";"9,6338"
"novembro 2012";"5104.Combustíveis (veículos)";"1,04";"5,0152"
"novembro 2012";"61.Produtos farmacêuticos e óticos";"0,22";"3,7549"
"novembro 2012";"62.Serviços de saúde";"0,54";"4,7724"
"novembro 2012";"63.Cuidados pessoais";"0,08";"2,6515"
"novembro 2012";"71.Serviços pessoais";"0,30";"6,2534"
"novembro 2012";"7201001.Cinema";"1,06";"0,1889"
"novembro 2012";"7201002.CD e DVD";"-1,85";"0,0634"
"novembro 2012";"7201003.Ingresso para jogo";"-5,62";"0,0145"
"novembro 2012";"7201006.Clube";"0,11";"0,1567"
"novembro 2012";"7201010.Instrumento musical";"0,12";"0,0409"
"novembro 2012";"7201018.Tratamento de animais";"0,24";"0,1980"
"novembro 2012";"7201019.Bicicleta";"0,11";"0,0976"
"novembro 2012";"7201020.Alimento para animais";"0,34";"0,2493"
"novembro 2012";"7201023.Brinquedo";"-0,10";"0,4586"
