"Tabela 2938 - IPCA - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"março 2007";"7201001.Cinema";"0,36";"0,3091"
"março 2007";"7201003.Ingresso para jogo";"0,16";"0,0523"
"março 2007";"7201006.Clube";"0,21";"0,2012"
"março 2007";"7201008.Disco laser";"-0,42";"0,2774"
"março 2007";"7201010.Instrumento musical";"0,74";"0,0959"
"março 2007";"7201018.Compra e tratamento de animais";"-1,12";"0,0688"
"março 2007";"7201019.Bicicleta";"0,47";"0,0853"
"março 2007";"7201020.Alimento para animais";"0,63";"0,3239"
"março 2007";"7201023.Brinquedo";"0,86";"0,4598"
"março 2007";"7201052.Aluguel de DVD e fita de videocassete";"-0,23";"0,2398"
"março 2007";"7201054.Boate, danceteria e discoteca";"1,60";"0,4350"
"março 2007";"7201063.Jogos de azar";"0,00";"0,4234"
"março 2007";"7201068.Motel";"0,46";"0,0839"
"março 2007";"7201083.Material esportivo";"-1,74";"0,0053"
"março 2007";"7201090.Hotel";"0,08";"0,3024"
"março 2007";"7201095.Excursão";"-4,69";"0,1189"
"março 2007";"7202.Fumo";"0,00";"0,8108"
"março 2007";"7203.Fotografia e filmagem";"-0,45";"0,2573"
"março 2007";"8101.Cursos";"0,16";"4,9826"
"março 2007";"8102.Leitura";"-0,89";"0,8322"
"março 2007";"8103.Papelaria";"-0,21";"0,3312"
"março 2007";"8104.Cursos diversos";"0,17";"1,0783"
"março 2007";"9.Comunicação";"0,01";"6,3459"
"abril 2007";"Índice geral";"0,25";"100,0000"
"abril 2007";"1.Alimentação e bebidas";"0,03";"20,7664"
"abril 2007";"2101.Aluguel e taxas";"0,30";"6,3415"
"abril 2007";"2103.Reparos";"0,91";"1,4090"
"abril 2007";"2104.Artigos de limpeza";"0,59";"0,7758"
"abril 2007";"22.Combustíveis e energia";"0,33";"4,9825"
"abril 2007";"3.Artigos de residência";"-0,18";"4,6368"
"abril 2007";"4.Vestuário";"0,33";"6,4813"
"abril 2007";"5101.Transporte público";"-0,02";"6,6029"
"abril 2007";"5102.Veículo próprio";"0,07";"8,9825"
"abril 2007";"5104.Combustíveis (veículos)";"1,17";"5,1710"
"abril 2007";"61.Produtos farmacêuticos e óticos";"0,48";"3,4131"
